question,answer
How do people get infected with the MERS virus?,"The MERS virus is transmitted primarily from infected dromedary camels to people, but transmission from people to people is also possible.From animals to people MERS-CoV is a zoonotic virus, meaning it is transmitted between animals and people.  Scientific evidence suggests that people are infected through unprotected direct or indirect contact with infected dromedary camels. The MERS virus has been identified in dromedary camels in several countries, including Burkina Faso, Egypt, Ethiopia, Iran, Jordan, Kenya, Kingdom of Saudi Arabia, Kuwait, Mali, Morocco, Netherlands, Nigeria, Oman, Pakistan, Qatar, Spain (Canary Islands), Somalia, Sudan, Tunisia, and the United Arab Emirates.. There is further evidence suggesting the MERS-CoV is widespread in dromedary camels in the Middle East, Africa and South Asia.It is possible that other animal reservoirs exist, however animals including goats, cows, sheep, water buffalo, swine, and wild birds have been tested for MERS-CoV and the virus has not been found. Between people The MERS virus does not pass easily between people unless there is close unprotected contact, such as the provision of clinical care to an infected patient without strict hygiene measures. Transmission between people has been limited to-date, and has been identified among family members, patients, and health care workers. The majority of reported MERS cases to date have occurred in health care settings."
Can someone be infected with MERS-CoV and not be ill?,"Yes, infection with MERS-CoV can be asymptomatic. Infected people with no symptoms have been identified because they were tested for MERS-CoV during investigations among contacts of people known to be infected with MERS-CoV. The role of asymptomatic infected individuals in transmission is currently unknown and under investigation."
Is it easy to detect people who are infected with MERS-CoV?,"It is not always possible to identify people infected with the MERS virus because early symptoms of the disease are non-specific. For this reason, all health care facilities should have standard infection prevention and control practices in place. It is also important to investigate the travel history of people with respiratory infection to determine if they have recently visited countries with active MERS-CoV circulation or have had contact with dromedary camels."
What should a person do if she/he has contact with a person who has MERS?,"If you have had close contact with someone infected with MERS-CoV within the last 14 days without using the recommended infection control precautions, you should contact a healthcare provider for an evaluation."
"Should people avoid contact with camels or camel products? Is it safe to visit farms, markets, or camel fairs?","As a general precaution, anyone visiting farms, markets, barns, or other places where animals are present should practice general hygiene measures. These include regular hand-washing before and after touching animals, and avoiding contact with sick animals.The consumption of raw or undercooked animal products, including milk and meat, carries a high risk of infection from a variety of organisms. Animal products processed appropriately through cooking or pasteurization are safe for consumption, but should also be handled with care to avoid cross-contamination with uncooked foods. Camel meat and camel milk are nutritious products that can be consumed after pasteurization, cooking, or other heat treatments.Until more is understood about MERS-CoV, people with diabetes, renal failure, chronic lung disease, and immunocompromised persons are considered to be at high risk of severe disease from MERS-CoV infection. Especially in the Middle East, this group of people should avoid contact with dromedary camels, consuming raw camel milk or camel urine, as well as eating meat that has not been properly cooked.Camel farm and slaughterhouse workers should practice good personal hygiene, including frequent hand washing, facial protection, and protective clothing (which should be removed after work and washed daily). Workers should also avoid exposing family members to soiled work clothing, shoes, or other items that may have come into contact with camels or camel excretions. Sick animals should never be slaughtered for consumption. People should avoid direct contact with any animal that has been confirmed positive for MERS-CoV infection."
Are health care workers at risk from MERS‐CoV?,"Yes. Transmission of MERS-CoV has occurred in health care facilities in several countries, most notably in Saudi Arabia and the Republic of Korea. It is not always possible to identify patients infected with MERS-CoV early or without testing because symptoms and other clinical features may be non-specific.
For this reason, it is important that health care workers apply standard precautions consistently with all patients.Droplet precautions should be added to standard precautions when providing care to all patients with symptoms of acute respiratory infection. Contact precautions and eye protection should be added when caring for suspected or confirmed cases of MERS. Airborne precautions should be applied when performing aerosol‐generating procedures.Infection prevention and control during health care for MERS"
Are there travel restrictions due to MERS-CoV?,"WHO does not currently recommend restrictions on travel or trade with regard to MERS-CoV.National authorities may take precautions to raise awareness of MERS-CoV and its symptoms among travellers, however, based on their own local risk assessment.International travel and health"
What is the impact of mercury on health ?,"Mercury is considered by WHO as one of the top 10 chemicals or groups of chemicals of major public health concern. Exposure to mercury, even in fairly small amounts, may cause serious health problems, and is a particular threat to the development of the child in utero and early in life. Mercury may have toxic effects on the nervous, digestive and immune systems, and on lungs, kidneys, skin and eyes. Individuals are mainly exposed to methylmercury, an organic compound, when they eat fish and shellfish that contain methylmercury. Mercury releases in the environment result mainly from human activity, particularly from coal-fired power stations, residential heating systems, waste incinerators and as a result of mining for mercury, gold and other metals."
What is thiomersal ?,"Thiomersal is a compound containing ethyl mercury used to prevent bacterial and fungal growth in inactivated (in which the virus has been killed) vaccines presented in multi-dose vials. It is also used during vaccine production, both to inactivate certain organisms and toxins and to help maintain a sterile production line. Thiomersal has been used since the 1930s in the manufacture of some vaccines and other medicinal products. The manufacture of thiomersal is a very minor component (<0.1%) of="""" the="""" main="""" sources="""" of="""" human="""" exposure="""" to="""">"
Why do vaccines need preservatives ?,"Preservatives inhibit growth of bacterial and fungal contaminants, which may be introduced during repeated use of a multi-dose vial. Multi-dose vials are used in many countries because they require less storage space in the cold chain and lead to less wastage, both of which have a significant impact on programme costs. While a preservative is needed only for multi-dose presentations, a manufacturer will usually make one bulk formulation, so if the product has both multi-dose and single-dose presentations, the-single dose presentation would contain the same preservative. In many countries, for inactivated vaccines supplied in multi-dose vials, the presence of a preservative is a regulatory requirement."
Which vaccines contain thiomersal ?,"Vaccines that contain thiomersal include those against diphtheria, tetanus and pertussis (DTP), hepatitis B, Haemophilus influenzae type b (Hib), rabies, influenza and meningococcal diseases. Usually, these vaccines have thiomersal added in varying concentrations (8 to 50 µg per dose) as a preservative. Also, some vaccines may contain trace amounts of thiomersal (<0.5 µg="""" per="""" dose)="""" if="""" it="""" has="""" been="""" used="""" in="""" the="""" production="""" process="""" as="""" an="""" inactivating="""" agent,="""" but="""" has="""" not="""" been="""" added="""" to="""" the="""" final="""" product="""" as="""" a="""">
Thiomersal-containing vaccines are used widely across the world. A number of products containing thiomersal have been prequalified by WHO (i.e. they have been assessed by WHO as meeting international standards for assured quality, safety and efficacy) and are being supplied by United Nations procurement agencies. During 2010, UNICEF and the Pan American Health Organization Revolving Fund supplied 325 million doses of thiomersal-containing vaccines for routine vaccination activities and response to outbreaks of infectious diseases such as influenza or epidemic meningitis."
Which vaccines do not contain thiomersal ?,"Live vaccines, such as oral poliovirus vaccine; yellow fever vaccine; and measles, mumps and rubella vaccines, do not contain thiomersal, because it would kill the immunizing component. In inactivated vaccines, when only single-dose presentations are available from a particular manufacturer, there is no thiomersal component in sufficient concentration required to prevent contamination of a vial because those presentations are not meant to be reused."
Does the amount of thiomersal in vaccines pose a health risk ?,"WHO has closely monitored scientific evidence relating to the use of thiomersal as a vaccine preservative for over 10 years, in particular through its independent expert advisory group, the Global Advisory Committee on Vaccine Safety. The Committee has consistently reached the same conclusion: there is no evidence to suggest that the amount of thiomersal used in vaccines poses a health risk. Other expert groups (the U.S. Institute of Medicine, the American Academy of Pediatrics, the United Kingdom Committee on Safety of Medicines, and the European Agency for the Evaluation of Medicinal Products), have reached similar conclusions."
Why are the United States of America and other industrialized countries avoiding use of thiomersal in vaccines if there is no proven safety risk ?,"The USA does use thiomersal-containing vaccines. During the 2010-2011 influenza season, more than 90 million doses of thiomersal-containing influenza vaccine in multi-dose vials were distributed for the vaccination of American citizens. Intensive safety studies showed that these vaccines were safe and effective. Other industrialized countries also used thiomersal-containing pandemic influenza vaccines.
The concerns that were raised in 1999 in the USA regarding exposure to mercury following immunization with thiomersal-containing vaccines were based on the calculation that the cumulative amount of mercury in infant immunization schedules potentially exceeded the recommended threshold for methyl mercury set by a U.S. government agency. At the time the concerns were raised, there was scientific uncertainty over the issue and the regulator (the United States Food and Drug Administration), taking a precautionary approach, requested manufacturers to consider development of thiomersal-free products for routine immunization. However, thiomersal contains ethyl mercury, not methyl mercury, and ethyl and methyl mercury are quite different. Studies have subsequently shown that withdrawal of thiomersal-containing vaccines had no effect on conditions, such as autism, which had been linked by some advocates to use of thiomersal-containing vaccines."
Can you provide more information on the studies reviewed by the Global Advisory Committee on Vaccine Safety ?,"Since August 2000, the WHO Global Advisory Committee on Vaccine Safety (GACVS), responsible for advising WHO on vaccine safety issues of potential global importance, has periodically reviewed available information on thiomersal pharmacokinetic studies in humans (including low birth-weight infants) and in monkeys and has assessed the validity of animal models in studying associations between thiomersal and neuro-developmental disorders (such as autism) in humans.
Expert consultation and data presented to GACVS indicate that the pharmacokinetic profile of ethyl mercury is substantially different to that of methyl mercury. In particular, the half-life of ethyl mercury is short (6 days; 95% CI: 3-10 days) compared with 40-50 days for methyl mercury, making exposure to ethyl mercury in blood comparatively brief and preventing accumulation when vaccines are administered at least four weeks apart. Further, ethyl mercury is actively excreted via the gut, unlike methyl mercury, which accumulates in the body. This rapid elimination of ethyl mercury has been confirmed in all studies reviewed, even those that looked at low birth-weight infants.
Four independent epidemiological studies investigating associations and frequency of neuro-developmental disorders in relation to vaccination with thiomersal-containing vaccines from the United Kingdom and Denmark did not challenge the safety of existing thiomersal-containing vaccines in infants.
GACVS also reviewed a series of studies by Geier and Geier alleging reduction of neuro-developmental disorders in the USA following discontinuation of thiomersal-containing vaccines in the national immunization programme. The Committee found a number of methodological limitations, such that published outcomes regarding neurodevelopment and heart disease following administration of thiomersal-containing vaccines do not meet the scientific criteria required to suggest a causal relationship. The Committee therefore found the conclusions made by these authors both unconvincing and unsubstantiated.
On that basis the GACVS considers that pharmacokinetic and developmental studies undertaken do not support concerns over the safety of thiomersal in vaccines.
The Committee has concluded that there is no reason on grounds of safety to change current immunization practices with thiomersal-containing vaccines, as the alleged risks are unproven."
"What would be the public health impact of restricting manufacture, distribution or use of thiomersal-containing vaccines ?","Immunization with thiomersal-containing multi-dose vaccines currently protects at least 64% of all infants and children against four diseases with high mortality rates: diphtheria, tetanus, pertussis and Haemophilus influenzae type b. It is estimated that use of thiomersal-containing vaccines to protect against these diseases averted at least 1 400 000 child deaths in 2010. Thiomersal-containing vaccines are being used in over 120 countries. Removing thiomersal completely from vaccines would require either using alternative preservatives or using preservative-free single-dose vaccines exclusively. Alternative presentations (with other preservatives, or preservative-free) would incur significant costs for development and regulatory approval, thereby limiting the ability to offer affordable vaccines.
Use of multi-dose vials is the most efficient and cost-effective presentation for protection of populations in instances when vaccines need to be administered to large numbers of people in a short space of time, such as in epidemic or pandemic situations."
Are there alternative preservatives that could be used for vaccines ?,"Yes, there are two approved for use. 2-phenoxyethanol (used for inactivated polio vaccine) and phenol (used for typhoid vaccine). A few studies have been done to compare the effectiveness of the different preservatives but the data is limited and inconclusive. Extrapolation from a few examples that an alternative preservative can be used for all vaccines is speculation. Practically, any vaccine presentation for which another preservative is to be used for the first time will require new clinical evaluation to test for safety and efficacy."
Is there research ongoing to evaluate the relative effectiveness of alternative preservatives to thiomersal ?,"WHO does not have a research programme for evaluating alternatives to the use of thiomersal in vaccines, given the lack of scientific evidence suggesting that there is a need to do so. Vaccine manufacturers have conducted research into alternative preservatives but, except for research on inactivated polio vaccine and a pneumococcal conjugate vaccine, there has been a conspicuous lack of success."
Could supplying vaccines in single-dose vials only be an option ?,"Vaccines could be supplied in preservative-free single-dose vials as is the case for the majority of vaccines used in industrialized countries. However, this option requires a significant increase in manufacturers' filling capacity. This would be time consuming and expensive to implement and it may not be possible to produce sufficient single-dose product to ensure uninterrupted global supply.
There is also the vaccine cost element: vaccines supplied in single-dose vials are more expensive than a dose of vaccine from a multi-dose vial.
In addition, single-dose vials require significantly larger cold storage space as well as increased transport capacity, which is currently not feasible for the majority of countries. Current WHO estimates suggest that the vaccine storage requirements would at least double if only single-dose presentations were used (WHO vaccine volume calculator, March 2011). Upgrading the cold chains of those countries is limited by local resources and the additional maintenance requirements that would render many existing systems vulnerable.
Replacing thiomersal in vaccines would require regulatory approval. There is no guarantee of obtaining a vaccine of equivalent quality, safety and efficacy following replacement of thiomersal as an inactivating agent or replacement or removal of thiomersal as the preservative from an existing licensed product. This would require a new licensing application, including conducting of new manufacturing validation studies; and pre-clinical and clinical studies. Such processes take time and money, could lead to an increase in vaccine cost and could interrupt global supply of the vaccines, thereby leading to increased disease and death from vaccine-preventable diseases."
Could supplying vaccines in multi-dose vials without a preservative be an option ?,"No, this is not an option because it would be dangerous. Bacterial and fungal contaminants, which may be introduced during repeated use of a multi-dose vial, would have an opportunity to grow in the partially-used vials. This is why the presence of a preservative is a regulatory requirement."
What would be the environmental impact of switching to single-dose vials only ?,"The environmental cost of replacing all multi-dose vials with single-dose vials must be taken into consideration. Such a switch would involve more raw materials, more energy for manufacturing processes and transport, and more waste. Although a formal environmental impact assessment has not yet been done, it should not be assumed that thiomersal-free presentations of vaccines will yield a positive net effect on the environment."
Why is thiomersal in vaccines considered safe by WHO whereas mercury in some cosmetics is considered unsafe ?,"Mercury in cosmetics exists in two forms: inorganic and organic mercury. The form of mercury used in skin lightening soaps and creams is inorganic mercury. Many countries have banned mercury skin lightening products because they are hazardous to human health. Organic mercury compounds (thiomersal (ethyl mercury) and phenyl mercuric salts) are used as cosmetic preservatives in eye makeup cleansing products and mascara. As with vaccines that contain thiomersal, safe limits have been defined for organic mercury compounds in these products."
What is WHO's position on the use of thiomersal in vaccines ?,"WHO supports continued use of thiomersal as an inactivating agent and preservative for vaccines.
The reasons for this position are as follows:

regular review by WHO's Global Advisory Committee on Vaccine Safety of new studies relating to the safety of thiomersal in vaccines over more than a decade has not provided any evidence to suggest a possible health hazard with the amounts of thiomersal currently used in vaccines; and
the use of multi-dose vials remains the best option for routine immunization programmes in many countries because they are safe and effective, they limit the required storage capacity and waste, and help reduce vaccine costs."
What is WHO's role in the process of the Intergovernmental Negotiating Committee to prepare a global legally binding instrument on mercury (INC) ?,"WHO participates in the treaty process as an observer. As well as being present at the INC sessions, the Organization can provide submissions, technical briefings, and contributions to Secretariat meeting documents."
What is the overall goal of the treaty ?,The overall goal of the treaty is to protect human health and the environment by reducing mercury releases
"What is WHO's position on thiomersal-containing vaccines, as they pertain to the treaty ?","WHO supports continued use of thiomersal as an inactivating agent and preservative for vaccines. In this context, WHO is concerned about the potential inclusion of vaccines in the scope of the treaty given the lack of evidence that thiomersal presents a risk to human health."
The disease - What is meningococcal disease?,"Meningitis is an infection of the meninges, the thin lining that surrounds the brain and the spinal cord. It is usually caused by a virus or bacterium (meningococcus). It is transmitted through droplets of respiratory or throat secretions. Bacterial meningitis, such as meningococcal disease, can be very serious because it evolves rapidly and can kill in a few hours. Even with appropriate treatment, around10% of patients die, and up to 20% of survivors have serious permanent health problems as a result of the disease (deafness, epilepsy, cerebral palsy or mental retardation)."
What is the extent of meningococcal disease in Africa?,"Sub-Saharan Africa has been experiencing explosive and repeated meningococcal epidemics for more than a hundred years. Group A meningococcus is the main cause of meningitis epidemics and accounts for an estimated 80% to 85% of all cases. These deadly epidemics occur at intervals of 7–14 years in the 25 countries of the ""meningitis belt,"" a strip of land that extends from Senegal in the west to Ethiopia in the east. Around 450 million people in this area are at risk of disease.More than one million cases of meningitis have been reported in Africa since 1988. In 1996-1997, the largest epidemic wave ever recorded swept across Africa, causing more than 250 000 cases and 25 000 deaths."
The vaccine - What is the expected public health impact of this new vaccine?,"If introduced in all 25 countries of the African meningitis belt, this vaccine is expected to eliminate the primary cause of epidemic meningitis, meningococcal A, from the entire region, with an estimated 150 000 young lives saved by 2015."
What advantages does MenAfriVac have over existing polysaccharide meningococcal vaccines currently used to combat epidemics in Africa?,"Contrary to polysaccharide vaccines that are used currently to control epidemics after they have begun, the new conjugate vaccine will be offered to prevent epidemics. Key advantages of the new vaccine over existing polysaccharide vaccines are:it induces a higher and more sustainable immune response against the most prominent strain in the most affected age groups, from 1-29 years;it is expected to confer long-term protection not only for those who receive the vaccine, but on family members and others who would otherwise have been exposed to meningitis, given reduced transmission:it will be available at a lower price than other meningococcal vaccines, and significantly lower than other cutting-edge vaccines recently introduced in Africa; andit is expected to be particularly effective in protecting children under two years of age, who do not respond to conventional polysaccharide vaccines."
Will this vaccine protect against all types of meningococcal disease?,"No, MenAfriVac will only protect again disease caused by the group A meningococcus—the main cause of meningitis epidemics in Africa, accounting for about 80 to 85 percent of all cases. Meningitis cases caused by other groups, such as W135, X and C, also occur. Vaccines for other groups are either not yet available (X) or far too expensive for African countries (C, W, or Y in various combinations). However, it is hoped that a combination of ongoing research and development efforts and tiered pricing will contribute to making these vaccines available to developing countries in the future."
How was the vaccine developed?,"The new vaccine was developed through the Meningitis Vaccine Project (MVP), a product development partnership between WHO and PATH, an international non-profit organization. The project included transfer of technology for manufacture of the vaccine from CBER/FDA to the Serum Institute of India Ltd. The project was set up in 2001 with core funding from the Bill & Melinda Gates Foundation. The overall mission of the MVP is to eliminate meningitis as a public health problem in sub-Saharan Africa through the development, testing, introduction, and widespread use of conjugate meningococcal vaccines.Clinical trials, beginning in 2005, have been carried out in the Gambia, Ghana, India, Mali and Senegal and have shown the vaccine to be safe and highly immunogenic."
How much will the vaccine cost?,"The vaccine will be sold at less than 50US¢ per dose, a price low enough to promote widespread uptake throughout the affected region."
What is the timeline for vaccination campaigns across the meningitis belt?,"Country-wide vaccination in Burkina Faso, Mali, and Niger is scheduled to start in December. The campaign in Burkina Faso is expected to be completed by the end of this year. The campaigns in Mali and Niger are expected to finish in 2011. It is hoped that all countries in the meningitis belt will be using the vaccine by 2015."
Why start with mass vaccination campaigns?,"The goal of introducing the meningococcal A conjugate vaccine through mass vaccination campaigns of 1 to 29 year olds (the age group most at risk) is to immediately and drastically reduce carriage and transmission of the bacteria in order to rapidly reduce rates of death and illness caused by the disease. Because large population groups will be vaccinated in a short period of time, the benefits of immunization should be quickly visible; their impact is expected to be considerable.It is expected that future birth cohorts will be protected either through vaccination within the EPI schedule or through follow-up mass campaigns targeting 1-4 year-olds every five years."
Is there commitment in Africa for the introduction of this vaccine?,"Because of the prevalence of meningitis A in the population and the role it plays as a major cause of epidemics, controlling meningitis A has become an important public health priority in Africa. Countries in the meningitis belt have been eager to host the clinical trials of the vaccine and have contributed significantly to their success. The same enthusiasm now fuels introduction of the vaccine throughout the region. The first three countries to introduce MenAfriVac are contributing financially as much as national budgets allow."
Funding shortfalls and cost-savings: How much money will be required to eliminate epidemic meningitis as a public health problem in sub-Saharan Africa?,It is estimated that introduction of the vaccine in all meningitis belt countries will require the mobilization from donor governments and others of an additional US$ 475 million.It is hoped that the international community will supplement the national budgets of introducing countries to ensure that this funding gap is met.
Funding shortfalls and cost-savings: What are the expected cost savings due to introduction of this new vaccine?,"A very conservative estimate, looking only at treatment and vaccination, is probably a minimum of around US$20 million in an average year in Africa's meningitis belt. This does not include the expected economic impact of saving lives and preventing disabilities caused by epidemic meningitis. Nor does it include the expected impact of freeing up resources for essential health services, which are usually put on hold during the six to seven months of an epidemic."
Next steps - What are the Meningitis Vaccine Project's next steps?,"In addition to actively seeking funding that will guarantee vaccine introduction throughout the whole meningitis belt, MVP is working closely both with governments and institutions in the African region, and international partners, to monitor the effect of the new vaccine on the ground. The project is also conducting further clinical research to inform policy, in particular for infants, to determine how best to integrate the meningococcal A conjugate vaccine into existing routine immunization programmes in Africa."
Why is GMP important?,"Poor quality medicines are not only a health hazard, but a waste of money for both governments and individual consumers."
Poor quality medicines can damage health,A poor quality medicine may contain toxic substances that have been unintentionally added.A medicine that contains little or none of the claimed ingredient will not have the intended therapeutic effect.
GMP helps boost pharmaceutical export opportunities,Most countries will only accept import and sale of medicines that have been manufactured to internationally recognized GMP. Governments seeking to promote their countries' export of pharmaceuticals can do so by making GMP mandatory for all pharmaceutical production and by training their inspectors in GMP requirements.
What is GMP?,"Good manufacturing practice (GMP) is a system for ensuring that products are consistently produced and controlled according to quality standards. It is designed to minimize the risks involved in any pharmaceutical production that cannot be eliminated through testing the final product. The main risks are: unexpected contamination of products, causing damage to health or even death; incorrect labels on containers, which could mean that patients receive the wrong medicine; insufficient or too much active ingredient, resulting in ineffective treatment or adverse effects. GMP covers all aspects of production; from the starting materials, premises and equipment to the training and personal hygiene of staff. Detailed, written procedures are essential for each process that could affect the quality of the finished product. There must be systems to provide documented proof that correct procedures are consistently followed at each step in the manufacturing process - every time a product is made. WHO has established detailed guidelines for good manufacturing practice. Many countries have formulated their own requirements for GMP based on WHO GMP. Others have harmonized their requirements, for example in the Association of South-East Asian Nations (ASEAN), in the European Union and through the Pharmaceutical Inspection Convention."
Is GMP necessary if there is a quality control laboratory?,Yes. Good quality must be built in during the manufacturing process; it cannot be tested into the product afterwards. GMP prevents errors that cannot be eliminated through quality control of the finished product. Without GMP it is impossible to be sure that every unit of a medicine is of the same quality as the units of medicine tested in the laboratory.
Can manufacturers afford to implement GMP?,"Yes. Making poor quality products does not save money. In the long run, it is more expensive finding mistakes after they have been made than preventing them in the first place. GMP is designed to ensure that mistakes do not occur. Implementation of GMP is an investment in good quality medicines. This will improve the health of the individual patient and the community, as well as benefiting the pharmaceutical industry and health professionals. Making and distributing poor quality medicines leads to loss of credibility for everyone: both public and private health care and the manufacturer."
WHO works to strengthen GMP,"WHO GMP guidelines are available online. If you require more information, please contact the WHO representative in your country, your WHO regional office or WHO headquarters in Geneva."
What is meant by a fair price?,"For the purposes of this initiative a ‘fair’ price is one that is affordable for health systems and patients and that at the same time provides sufficient market incentive for industry to invest in innovation and the production of medicines. In other words, fairness here implies positive incentives and/or benefits for all stakeholders – i.e. those who purchase and use medicines, and those involved in the R&D and manufacture of medicines."
Does the concept of ‘fair pricing’ replace the principle of affordability?,"Absolutely not. The Fair Pricing Forum strives to increase access through better affordability. It focuses on new, high-priced medicines and vaccines that are currently unaffordable in most countries – regardless of income. But it also looks at old medicines whose prices have been so reduced that they no longer present any kind of incentive for manufacturers. The principle of affordability and access to quality medicines guides the fair pricing initiative and remains a stalwart of WHO’s work on access to medical products."
Pricing Forum taking place?,"The Forum is taking place in Johannesburg, South Africa, on 11-13 April 2019 and is co-sponsored by the South African National Department of Health and WHO."
Is it a WHO or a South African initiative?,"Fair pricing is a WHO initiative supported by many governments, including the Government of South Africa through its Minister of Health, who will be hosting the forum along with the WHO Director-General."
What does it aim to achieve?,"The ‘Fair Pricing Forum’ aims to provide a global platform to discuss ways to improve access to medicines – including high-priced ones – within the overall effort of supporting countries to develop effective access strategies to achieve universal health coverage. At the same time, it also intends to understand the input needed by the pharmaceutical industry to improve R&D and innovation from a public health perspective and to keep old and generic essential medicines on the market."
Who will be invited to participate in the forum?,"Participants include WHO Member State Governments, patient associations, civil society, insurers and the pharmaceutical industry."
What is at the origin of the fair pricing forum – why now?,"The intention behind the fair pricing initiative is closely linked to WHO’s broader agenda for supporting access to medicines, improving public health across all regions and promoting universal health coverage. In addition, WHO Member States have formally requested that WHO’s Director General, through World Health Assembly Resolution WHA67.22 (Access to essential medicines, 2014), support countries to “ensure access to safe, effective and quality-assured essential medicines, including high price essential medicines.”The current status of medicines prices is fast becoming one of the biggest challenges to health systems everywhere and is the subject of countless debates in parliaments and in both medical and mainstream media. The time is ripe for greater involvement of the global health community to discuss this issue and seek realistic solutions for greater affordability. The main barrier to accessing many new and effective medicines, especially for cancer and orphan drugs, and more recently for hepatitis C, is their lack of affordability, even when there is evidence to show that manufacturing them is relatively inexpensive. This problem is now touching not only low-income countries, it is affecting middle- and high-income countries as well.At the other end of the spectrum is the problem of drug shortages or poor quality for some old and off-patent medicines. There are a number of examples, ranging from benzathine penicillin to methotrexate, where there are significant problems with lack of manufacturers. For these products, it is necessary to work out what a ‘fair’ price would be that ensures quality products and ongoing supply."
What is WHO’s role in this field?,"WHO has both the mandate and the responsibility to address barriers to accessing health products and services that are vital to improving public health. As the global health coordinator within the UN system, WHO provides a unique global platform to discuss policy options for increased access to medicines through its convening power with all public health actors, both national and international."
What evidence/data will WHO use to argue for fairness in pricing?,"In the lead-up to the forum, WHO will publish reports and landscape analyses related to pricing and the cost of R&D and production of medicines and other health technologies. It is hoped that a comprehensive report on pricing will be ready for launch at the May forum."
"How does this fair pricing initiative fit in with the GSPOA, CEWG and the UNHLP on access to medicines?","Fair pricing focuses on specific issues related to pricing (high and low prices) that constitute access barriers in an attempt to find strategies for countries to address these barriers in the near future. We believe that this initiative will contribute to the goals of the Global Strategy and Plan of action on Public Health, Innovation and Intellectual Property (GSPOA), the Consultative Expert Working Group on Research and Development (CEWG) and the UN High Level Panel on Access to Medicines. The initiative does not replace WHO’s ongoing work on intellectual property and TRIPS flexibilities."
Why do so many women still die in pregnancy or childbirth?,"In 2015, an estimated 303 000 women will die from complications
 related to pregnancy or childbirth. In addition, for every woman who 
dies in childbirth, dozens more suffer injury, infection or disease.
		The majority of maternal deaths are due to haemorrhage, 
infection, unsafe abortion, and eclampsia (very high blood pressure 
leading to seizures), or from health complications worsened in 
pregnancy. In all these cases,  unavailable, inaccessible, unaffordable,
 or poor quality care is fundamentally responsible. Maternal deaths are 
detrimental to social development and wellbeing, as some 1 million 
children are left motherless each year. These children are more likely 
to die within 1-2 years of their mothers' death.Women need not die in childbirth. We must give a young woman 
the information and support she needs to address her reproductive health
 needs, help her through a pregnancy, and care for her and her newborn 
well into childhood. The vast majority of maternal deaths could be 
prevented if women had access to quality family planning services; 
skilled care during pregnancy, childbirth and after delivery; or 
post-abortion care and where permissible, safe abortion services.  
Increased attention for women living in conflict situations, or under 
humanitarian crisis is needed because a working health system with 
skilled personnel is key to saving these women's lives.Although the world did not achieve the Millennium Development 
Goal of reducing maternal mortality by three quarters between 1990 and 
2015; great strides were made and many countries saw significant 
improvements in maternal health.  Looking beyond 2015, WHO is committed 
to support accelerated reductions in maternal mortality by 2030, as part
 of the Sustainable Development Goals agenda.  For this to happen, high 
quality reproductive, maternal and newborn health care must be 
available, accessible and acceptable to all in need.  As part of the 
Ending Preventable Maternal Mortality Strategy and objectives, WHO and 
partners support countries to achieve this goal, so that women, girls 
and adolescents can survive and thrive."
Do dead bodies cause epidemics?,"No, dead bodies from natural disasters generally do not cause epidemics. This is because victims of such disasters usually die from trauma, drowning or fire and do not normally harbour organisms which cause epidemics.The exception to this is when deaths have occurred from highly infectious diseases (such as Ebola, Lassa fever, cholera), or when the disaster occurred in an area that is endemic for such highly infectious diseases. In these circumstances, the possibility of disease spreading from dead bodies exists."
What are the health risks for the public?,"Unless the deceased has died from a highly infectious disease, the risk to the public is negligible. However, there is a risk of diarrhoea from drinking water contaminated by faecal material from dead bodies. Routine disinfection of drinking water is sufficient to prevent waterborne illness. (See question 6 for the health risks to those handling dead bodies)."
Can dead bodies contaminate water?,"Yes, they can, as do live bodies. Dead bodies often leak faeces which may contaminate rivers or other water sources, causing a risk of diarrhoeal illness which adequate treatment of water can prevent."
Is spraying bodies with disinfectant or lime powder useful?,"Lime powder does not hasten decomposition and, since dead bodies are generally not an infectious risk to the public, disinfectant is not needed."
Local officials and journalists say there is a risk to the public of disease from dead bodies. Are they correct?,"The risk from dead bodies after disasters due to natural hazards is misunderstood by many professionals and the media. Even local or international health workers are often misinformed and contribute to the spread of unfounded rumours about outbreaks and epidemics. Dead bodies from natural disasters generally do not cause epidemics. The risk of disease from dead bodies is real only in cases where the deceased has died of a highly infectious disease or has died in an area where such infectious disease is endemic. Even then, the risk of disease transmission to a trained body-handler is low (see question 6)"
Is there a risk for those handling dead bodies?,"For people handling dead bodies (rescue workers, mortuary workers, etc.), there is a risk if the deceased are infected with highly infectious disease (such as Ebola, Lassa fever, cholera). The infectious agents responsible for these diseases last for varying periods after death. The internal organs that harbour organisms such as tuberculosis, which can survive for very long periods after a person’s death, are usually handled only by trained personnel during an actual autopsy. This is not part of any procedure described in this manual. Processes to support persons handling the dead should be in place to deal with any psychological impacts arising from their work."
Should workers wear a mask?,"The smell from decaying bodies is unpleasant, but the smell itself is not a health risk in well-ventilated areas, and in such areas wearing a mask is not generally required for health reasons. However, special masks may be required for health and safety purposes in some circumstances, including in the presence of toxic gases, smoke, particles, etc."
What should the authorities do with dead bodies in the short term?,"Dead bodies should be collected and stored, using refrigerated containers where possible, or temporary burial. The simple steps required to help identify all the dead bodies should be taken. Photographs should be taken and descriptive information recorded for each body. Remains should be stored or buried temporarily to allow for the possibility of an expert forensic investigation in the future."
